NAME              STATUS   AGE
default           Active   25d
exam-abduhalil    Active   38s
exam-abdumalik    Active   57m
exam-dilmurod     Active   13m
exam-hasanboy     Active   29m
exam-ibrohim      Active   61m
exam-jasurbek     Active   33m
exam-khurshid     Active   9m40s
exam-nurali       Active   36m
exam-o-toshev     Active   61m
exam-rakhimjon    Active   58m
exam-xondamir     Active   50m
exam-zoyirjon     Active   44m
ingress-nginx     Active   17d
kube-node-lease   Active   25d
kube-public       Active   25d
kube-system       Active   25d
special           Active   21d
